epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,52.7937,1.33261,1.08859,1.6686,0.62658,0.67247,0.64853,0.30588,1.88414,1.64095,2.30477,0.0672463,0.000330846,0.000330846
2,70.5471,1.33328,1.08369,1.6548,0.71816,0.73045,0.74482,0.35858,1.6747,1.56991,1.99613,0.0341805,0.000598425,0.000598425
3,87.7734,1.33854,1.10685,1.66434,0.6698,0.70791,0.72883,0.36364,1.76843,1.48843,2.15868,0.00104876,0.000800005,0.000800005
4,105.1,1.37165,1.15382,1.68837,0.62722,0.6165,0.67103,0.33782,1.68555,1.45571,2.01395,0.000703,0.000703,0.000703
5,122.385,1.35782,1.09705,1.67318,0.67685,0.69389,0.7075,0.35846,1.73918,1.51329,2.09905,0.000604,0.000604,0.000604
6,145.214,1.3295,1.06639,1.62518,0.63026,0.73025,0.69461,0.35421,1.68874,1.48655,2.01576,0.000505,0.000505,0.000505
7,176.552,1.35514,1.07473,1.66795,0.59989,0.73627,0.66165,0.34135,1.714,1.44468,2.04331,0.000406,0.000406,0.000406
8,195.412,1.3405,1.04462,1.66348,0.65526,0.76258,0.70857,0.35251,1.68309,1.42515,1.97015,0.000307,0.000307,0.000307
9,212.651,1.33626,1.0226,1.66289,0.68747,0.74874,0.7361,0.36136,1.67964,1.42348,1.97947,0.000208,0.000208,0.000208
10,230.448,1.36421,1.00889,1.67275,0.68588,0.76137,0.74495,0.36923,1.66328,1.39679,1.97867,0.000109,0.000109,0.000109
